place;name;location;date;wiki;lat;lon;abstract;photo
http://dbpedia.org/resource/Abbey_of_Santa_María_la_Real_de_Las_Huelgas;Abbey of Santa María la Real de Las Huelgas;Castille-et-León;12ème siècle;http://en.wikipedia.org/wiki/Abbey_of_Santa_María_la_Real_de_Las_Huelgas;42.3361;-3.7202;Le monastère royal de las Huelgas de Burgos est un monastère cistercien fondé en 1187 par le roi Alphonse VIII et sa femme Aliénor Plantagenêt. Accueillant toujours des moniales, il est situé à 1,5 km à l'ouest du centre de la ville de Burgos.;http://commons.wikimedia.org/wiki/Special:FilePath/Burgos_-_Las_Huelgas_10.jpg?width=300
http://dbpedia.org/resource/Adler_Planetarium;Adler Planetarium;Chicago;1930;http://en.wikipedia.org/wiki/Adler_Planetarium;41.8664;-87.6067;Le planétarium Adler (Adler Planetarium and Astronomy Museum) est un musée scientifique américain situé au 1300 S. Lake Shore Drive, dans la ville de Chicago (États-Unis). Ouvert au public en 1930, il s'agit du premier planétarium du continent américain.;http://commons.wikimedia.org/wiki/Special:FilePath/Adler_external_1.jpg?width=300
http://dbpedia.org/resource/African_Meeting_House;African Meeting House;Boston;1806;http://en.wikipedia.org/wiki/African_Meeting_House;42.36;-71.0655;Le musée d’histoire afro-américaine (en anglais, Museum of Afro-American History), ouvert en 1963, est le plus grand musée de Nouvelle-Angleterre dédié à la préservation de la mémoire des Noirs américains. L'institution regroupe plusieurs sites tels que le Black Heritage Trails, l’African Meeting House ou l’Abiel Smith School qui évoquent leur vie et leur condition de l'époque coloniale au XIXe siècle. Le musée organise des expositions et des activités pour les scolaires.;http://commons.wikimedia.org/wiki/Special:FilePath/African_Meeting_House.jpg?width=300
http://dbpedia.org/resource/Agra_Fort;Agra Fort;Uttar Pradesh;1565;http://en.wikipedia.org/wiki/Agra_Fort;27.1795;78.0211;Le fort d'Agra (hindi : आगरा क़िला, ourdou : آگرہ قلعہ) est un fort situé à Agra en Uttar Pradesh (Inde). Recouvrant une surface de 38 hectares, c'est le plus grand fort de l'Inde. Il a été classé au patrimoine mondial de l'UNESCO en 1983. Les murs d'enceinte, en grès rouge, sont hauts de 21 mètres et longs de 2,5 km.;http://commons.wikimedia.org/wiki/Special:FilePath/Agra_03-2016_10_Agra_Fort.jpg?width=300
http://dbpedia.org/resource/Akasaka_Palace;Akasaka Palace;Minato (Tokyo);1899;http://en.wikipedia.org/wiki/Akasaka_Palace;35.68;139.729;Le palais d'Akasaka (赤坂離宮, Akasaka rikyū), ou la maison des hôtes d'État (迎賓館, Geihinkan), est l'une des deux résidences officielles du gouvernement du Japon. Le palais est construit à l'origine comme palais impérial du prince héritier (東宮御所, Tōgū gosho) en 1909. De nos jours, le palais accueille les chefs d'État en visite officielle. Situé dans le district Moto-Akasaka de l'arrondissement de Minato à Tokyo, le bâtiment prend sa fonction actuelle en 1974 après avoir été un palais impérial détaché. Il est classé trésor national depuis 2009.;http://commons.wikimedia.org/wiki/Special:FilePath/State_Guest_House_Akasaka_Palace_main_entrance.jpg?width=300
http://dbpedia.org/resource/Al-Jdayde;Al-Jdayde (Aleppo);Syrie;fin du 14ème siècle;http://en.wikipedia.org/wiki/Al-Jdayde;36.2069;37.1568;"Jdeidé (Arabe: جديدة translit. Al-Jdeideh ainsi que Jdayde, Jdeydeh, Jdaideh et Jdeïdé) est un quartier d'Alep, la deuxième ville de Syrie. À la fin de l’époque mamelouke, ce petit quartier avec quelques boutiques existe hors les murs, au nord, près de cimetières et d’entrepôts. L’urbanisation continue à se développer le long des chemins en éventail qui sortent de la porte de bab al-Nasr; elle rejoint d’anciens villages un peu à l’écart au nord et au nord-est. Ces quartiers, d’abord musulmans, sont équipés de mosquées à khotba, de fontaines, fondations du XIVe et de la première moitié du XVe siècle, rendues possibles par une adduction d’eau. Une nouvelle canalisation, mise en service en 1490-91, favorise une nouvelle extension du faubourg avec des hammams. À l’extrême ouest du faubourg se trouvent des cimetières chrétiens et peut-être des lieux de culte d’époque byzantine. Le développement de Salibé sur ce vieux site chrétien, puis celui de Jdeidé, répondent à l’augmentation de la population et notamment au désir des chrétiens de se regrouper. Autour d’une même cour, à proximité du carrefour de Salibé, se rassemblent alors les églises, nouvellement construites ou agrandies : celle des Arméniens grégoriens, signalée vers 1490 date de son agrandissement, celles des Grecs orthodoxes et des Maronites, celle des Syriaques. Des notables commencent à s’installer dans le quartier, ainsi qu'une population plus modeste. Les Arméniens, communauté dominante, étaient alors spécialisés dans le commerce avec la Perse et l’Inde, aidés par l’existence de communautés importantes de coreligionnaires dans ces régions. Au cours du XVIe et du XVIIe siècle, après la conquête ottomane, des lotissements en bandes parallèles régulières sont réalisés. Deux grands waqf-s musulmans, fondés en 1583-90 et 1653, ont longtemps constitué le centre populaire et vital du faubourg. Ces deux ensembles, aux façades décorées et à l’architecture régulière, fournissaient la majeure partie des locaux d’activités économiques et de services pour un vaste faubourg, où se côtoyaient musulmans et chrétiens, riches et pauvres. Ils comprenaient une fontaine devant l’entrée du quartier chrétien, un grand café, un très grand hammam, une petite mosquée et une école pour les enfants musulmans, un marché au fil, quatre grands ensembles d’ateliers pour les métiers du textile, un vaste entrepôt de céréales, et des souks regroupant des services de proximité et des commerces d’alimentation. Dans les années 1990-2000, le quartier de Jdeidé, connu pour ses précieuses demeures richement décorées et ses églises, est devenu l'un des haut-lieux du tourisme culturel de la ville ; de nombreux hôtels et restaurants ont été aménagés dans des maisons historiques. Ces lieux sont désertés depuis l'année 2012 lorsque la guerre civile syrienne a pris plus d'ampleur. À la fin du mois d'août 2012, lors de la seconde offensive des rebelles islamistes de la bataille d'Alep, les quartiers chrétiens, dont Jdeïdé, forment des milices pour repousser les rebelles auteurs d'exactions pendant les cinq jours de leur occupation du quartier. Une série d'énormes explosions souterraines menées par l'opposition armée sous Place Al Hatab en avril 2015 ont dévasté le quartier. Un certain nombre de monuments et de musées à proximité ont également été très fortement endommagés par les combats.";http://commons.wikimedia.org/wiki/Special:FilePath/Alep_Jdeidé_Bretocq_FRAD027_6Fi00030.jpg?width=300
http://dbpedia.org/resource/Alexander_Graham_Bell_National_Historic_Site;Alexander Graham Bell National Historic Site;Baddeck;1954;http://en.wikipedia.org/wiki/Alexander_Graham_Bell_National_Historic_Site;46.1028;-60.7458;Le lieu historique national Alexander-Graham-Bell (Alexander Graham Bell National Historic Site) est une propriété de 10 hectares située à Baddeck, en Nouvelle-Écosse (Canada). Il surplombe le lac Bras d'Or. Le site est une unité du système des parcs nationaux et comprend le musée Alexander Graham Bell, le seul musée au monde contenant les artefacts et les documents des années de travail expérimental d'Alexander Graham Bell à Baddeck. Il a été désigné lieu historique national en 1952.;http://commons.wikimedia.org/wiki/Special:FilePath/Visitor_Centre_at_the_Alexander_Graham_Bell_National_Historic_Site_of_Canada.JPG?width=300
http://dbpedia.org/resource/Alexandria_National_Cemetery_(Alexandria,_Louisiana);Alexandria National Cemetery;Pineville (Louisiane);1867;http://en.wikipedia.org/wiki/Alexandria_National_Cemetery_(Alexandria,_Louisiana);31.3225;-92.4322;Le cimetière national d'Alexandria est un cimetière national des États-Unis situé dans la ville de Pineville, de la paroisse des Rapides, en Louisiane. Il occupe environ 8 acres (3,2 ha), et est le site de 10 164 inhumations à la fin de 2005.;http://commons.wikimedia.org/wiki/Special:FilePath/Alexandria_National_Cemetery_IMG_1110.JPG?width=300
http://dbpedia.org/resource/Allegheny_Cemetery;Allegheny Cemetery;Pittsburgh;1844;http://en.wikipedia.org/wiki/Allegheny_Cemetery;40.4667;-79.95;Le cimetière d’Allegheny est l’un des plus grands et des plus anciens lieux de sépulture à Pittsburgh, en Pennsylvanie, aux États-Unis. Il s’agit d’un cimetière multi-confessionnel prenant la forme d’un parc et d’une colline boisée situé au 4734 Butler Street dans le quartier de Lawrenceville et délimité par Bloomfield, Garfield, et Stanton Heights. Il est situé sur la face versant nord des collines surplombant la rivière Allegheny. Ouvert en 1845, le cimetière Allegheny est le sixième plus vieux cimetière rural en Amérique et a été agrandi au fil des ans pour maintenant atteindre 300 acres (1,2 km2).;http://commons.wikimedia.org/wiki/Special:FilePath/Allegheny_Cemetery_2008_spires.jpg?width=300
http://dbpedia.org/resource/Ambrussum;Ambrussum;Villetelle;4ème siècle avant J.C.;http://en.wikipedia.org/wiki/Ambrussum;43.7192;4.14806;Ambrussum est un ancien oppidum gaulois situé sur la Voie Domitienne sur le territoire de la commune de Villetelle (Hérault). Durant l'âge du fer (VIIIe – IIe siècle av. J.-C.), Ambrussum constitue l'un des principaux oppida de la Celtique méditerranéenne. Situé non loin de Lunel, entre Nîmes et Montpellier, Ambrussum est célèbre aussi pour le Pont Ambroix, peint par Gustave Courbet (Montpellier, Musée Fabre).;http://commons.wikimedia.org/wiki/Special:FilePath/Ambrussum_South_Gate_Paved_Road_0402.JPG?width=300
