"bridge","name","length","span","date","wiki","lat","lon","abstract","photo"
"http://dbpedia.org/resource/Osman_Gazi_Bridge","Pont Osmangazi","2.682",1550.0,2016-01-01,"http://en.wikipedia.org/wiki/Osman_Gazi_Bridge",40.7552,29.5157,"Le pont Osmangazi (turc : Osmangazi Köprüsü) est un pont suspendu franchissant le golfe d'Izmit près de la ville d'Izmit et approximativement à 50 km au sud d'Istanbul en Turquie. À son ouverture le 1er juillet 2016, le pont est le quatrième plus long pont suspendu au monde.","http://commons.wikimedia.org/wiki/Special:FilePath/Osmangazi_Köprüsü_-_Osmangazi_Bridge.jpg?width=300"
"http://dbpedia.org/resource/Yi_Sun-sin_Bridge","Pont Yi Sun-sin","2.26",1545.0,2012-01-01,"http://en.wikipedia.org/wiki/Yi_Sun-sin_Bridge",34.8992,127.705,"Le pont Yi Sun-sin est un pont coréen. Il porte le nom de l'amiral Yi Sun-sin. 
* Portail de la Corée du Sud 
* Portail des ponts","http://commons.wikimedia.org/wiki/Special:FilePath/Yi_Sun-sin_Bridge_in_construction1.jpg?width=300"
"http://dbpedia.org/resource/Yavuz_Sultan_Selim_Bridge","Pont Yavuz Sultan Selim","2.164",1408.0,2016-01-01,"http://en.wikipedia.org/wiki/Yavuz_Sultan_Selim_Bridge",41.2029,29.1116,"Le pont Yavuz Sultan Selim, troisième pont du Bosphore (en turc : Yavuz Sultan Selim Köprüsü ou 3. Boğaziçi Köprüsü), est un pont suspendu et haubané à Istanbul en Turquie. Nommé d'après le sultan Sélim Ier, le pont est situé entre le quartier (tr) du district de Sarıyer sur la rive européenne du détroit du Bosphore et le quartier (tr) du district de Beykoz sur la rive asiatique.","http://commons.wikimedia.org/wiki/Special:FilePath/Yavuz_Sultan_Selim_Bridge_IMG_3054.jpg?width=300"
"http://dbpedia.org/resource/Jiangyin_Yangtze_River_Bridge","Pont de Jiangyin","3.0",1385.0,1997-01-01,"http://en.wikipedia.org/wiki/Jiangyin_Yangtze_River_Bridge",31.9492,120.267,"Le Pont de Jiangyin (chinois simplifié : 江阴悬索桥 ; chinois traditionnel : 江陰懸索橋 ; pinyin : Jiāngyīn Xuánsuǒ Qiáo ; litt. « Pont suspendu de Jiangyin ») est un pont qui enjambe la rivière Yangtze dans la province de Jiangsu en République populaire de Chine. Il relie les villes de Jiangyin et de Jingjiang. Avec une portée principale de 1 385 mètres, il est le sixième plus long pont suspendu dans le monde et le plus important en Chine au moment de son achèvement en 1999. Avec l'achèvement du pont Runyang en 2005 et le pont de Xihoumen en 2007, il est désormais le troisième plus grand pont en Chine.","http://commons.wikimedia.org/wiki/Special:FilePath/Jiangyin_Yangtze_River_bridge-2.jpeg?width=300"
"http://dbpedia.org/resource/Hakuchō_Bridge","Pont Hakuchō","0.72",1380.0,1998-01-01,"http://en.wikipedia.org/wiki/Hakuchō_Bridge",42.3528,140.952,"Le pont Hakuchō (白鳥大橋, Hakuchō Ō-hashi), inauguré en 1998, franchit la baie d'Uchiura dans la ville de Muroran au Japon.","http://commons.wikimedia.org/wiki/Special:FilePath/Hakucho_Ohashi.JPG?width=300"
"http://dbpedia.org/resource/Golden_Gate_Bridge","Pont du Golden Gate","2.737104",1280.16,1937-01-01,"http://en.wikipedia.org/wiki/Golden_Gate_Bridge",37.8197,-122.479,"Le pont du Golden Gate (en anglais : Golden Gate Bridge) est un pont suspendu américain situé dans l'État de Californie, traversant le Golden Gate, détroit par lequel la baie de San Francisco débouche dans l’océan Pacifique. Il permet ainsi de relier la ville de San Francisco, située à la pointe nord de la péninsule de San Francisco, à la ville de Sausalito, située à la pointe sud de la péninsule du comté de Marin. Financée par la Work Projects Administration, sa construction, qui se heurte à de nombreuses difficultés, débute en 1933 et s’étale sur une durée de quatre ans, pour s’achever en 1937. Jusqu’en 1964, c'est le pont suspendu le plus long du monde et constitue au XXIe siècle le monument le plus célèbre de San Francisco. Il est en outre aisément reconnaissable à sa couleur orange international et à l’architecture de ses deux pylônes. Selon un classement de l’American Society of Civil Engineers, l'ouvrage d'art fait partie des Sept Merveilles du monde moderne.","http://commons.wikimedia.org/wiki/Special:FilePath/Golden_Gate_Bridge_0002.jpg?width=300"
"http://dbpedia.org/resource/Yangluo_Yangtze_River_Bridge","Pont de Yangluo","2.725",1280.0,2007-01-01,"http://en.wikipedia.org/wiki/Yangluo_Yangtze_River_Bridge",30.6242,114.558,"Le pont de Yangluo (chinois simplifié : 阳逻长江大桥 ; chinois traditionnel : 陽邏長江大橋 ; pinyin : Yángluó Chángjiāng dàqiáo ; litt. « Pont de Yangluo sur le Yangtsé ») , ou pont de Wuhan Yangluo Yangtze, est un pont qui franchit la rivière Yangtze en République populaire de Chine. Il constitue un tronçon du périphérique de la ville de Wuhan qui est une des principales agglomérations de la Chine Centrale, dans la province du Hubei. Il relie le quartier de Yangluo, dans le district de Xinzhou sur la rive nord au district de Hongshan sur la rive sud, dans la ville de Wuhan. Avec une portée principale de 1 280 mètres, identique à celle du Golden Gate Bridge construit en 1937, il est le neuvième pont suspendu le plus grand au monde.","http://commons.wikimedia.org/wiki/Special:FilePath/Yangluo_Bridge_-_Wuhan's_5th_bridge_over_the_Yangtze_River.jpg?width=300"
"http://dbpedia.org/resource/Höga_Kusten_Bridge","Pont de Höga Kusten","1.867",1210.0,1997-01-01,"http://en.wikipedia.org/wiki/Höga_Kusten_Bridge",62.7974,17.9382,"Le pont de Höga Kusten ou pont de la Haute Côte (Högakustenbron en suédois, High Coast Bridge en anglais) est un pont suspendu qui supporte la Route européenne 4 et franchit l'embouchure de l'Ångermanälven près de , entre les communes de Härnösand et de Kramfors dans la province d'Ångermanland dans le nord de la Suède. Il fait partie du site de la Haute Côte. Il est le plus long pont suspendu de Suède avec une portée principale de 1 210 m, devant le pont d'Älvsborg.","http://commons.wikimedia.org/wiki/Special:FilePath/Hoga_kustenbron.jpg?width=300"
"http://dbpedia.org/resource/Aizhai_Bridge","Pont Aizhai","1.534",1176.0,2012-01-01,"http://en.wikipedia.org/wiki/Aizhai_Bridge",28.331,109.597,"Le pont Aizhai est un pont suspendu routier situé près de Jishou, dans le Hunan, en République populaire de Chine.","http://commons.wikimedia.org/wiki/Special:FilePath/Aizhai_Bridge-1.jpg?width=300"
"http://dbpedia.org/resource/Mackinac_Bridge","Pont Mackinac","8.0381856",1158.24,1957-01-01,"http://en.wikipedia.org/wiki/Mackinac_Bridge",45.8171,-84.7278,"Le pont Mackinac (familièrement appelé « Big Mac » ou « Mighty Mac ») est un pont suspendu qui enjambe le détroit de Mackinac qui sépare le lac Michigan au lac Huron. Ce pont routier qui porte l'Interstate 75 relie les péninsule supérieure et inférieure de l'État américain de Michigan. Envisagé dès les années 1880 et après plusieurs décennies de discussion sur l'opportunité de sa construction, celle-ci fut lancée en 1954. Conçu par l'ingénieur David B. Steinman, le pont a été mis en service en 1957. Avec une longueur de 8 038 mètres, il est le 20e pont suspendu à la travée la plus longue du monde et a été pendant un moment le deuxième pont le plus long du monde. La totalité des câbles sont équivalents à presque deux fois le tour du monde. Il connecte la ville de Saint-Ignace au nord au village de Mackinaw City au sud.","http://commons.wikimedia.org/wiki/Special:FilePath/Mackinac_Bridge_Sunset.jpg?width=300"
