"building","name","wiki","lat","lon","height","date","abstract","photo"
"http://dbpedia.org/resource/Burj_Khalifa","Burj Khalifa","http://en.wikipedia.org/wiki/Burj_Khalifa",25.1971,55.2741,829.8,2009-10-01,"Burj Khalifa (en arabe : برج خليفة, /bʊrd͡ʒ xaˈliːfa/, « tour de Khalifa ») est un gratte-ciel situé à Dubaï aux Émirats arabes unis, devenu en mai 2008 la plus haute structure humaine jamais construite. Sa hauteur finale, atteinte le 17 janvier 2009, est de 828 mètres. Elle forme le cœur d’un nouveau quartier : Downtown Dubai. L'inauguration et l'ouverture partielle ont eu lieu le 4 janvier 2010.","http://en.wikipedia.org/wiki/Special:FilePath/Burj_Khalifa.jpg?width=300"
"http://dbpedia.org/resource/Burj_Khalifa","Burj Khalifa","http://en.wikipedia.org/wiki/Burj_Khalifa",25.1971,55.2741,828.0,2009-10-01,"Burj Khalifa (en arabe : برج خليفة, /bʊrd͡ʒ xaˈliːfa/, « tour de Khalifa ») est un gratte-ciel situé à Dubaï aux Émirats arabes unis, devenu en mai 2008 la plus haute structure humaine jamais construite. Sa hauteur finale, atteinte le 17 janvier 2009, est de 828 mètres. Elle forme le cœur d’un nouveau quartier : Downtown Dubai. L'inauguration et l'ouverture partielle ont eu lieu le 4 janvier 2010.","http://en.wikipedia.org/wiki/Special:FilePath/Burj_Khalifa.jpg?width=300"
"http://dbpedia.org/resource/Shanghai_Tower","Tour Shanghai","http://en.wikipedia.org/wiki/Shanghai_Tower",31.2355,121.501,632.0,2014-09-02,"La tour Shanghai (chinois : 上海中心大厦 ; pinyin : shànghǎi zhōngxīn dàshà) est un gratte-ciel du quartier financier de Pudong à Shanghai. L'immeuble, qui s’élève à une hauteur de 632 mètres, a 128 étages et développe une surface de 420 000 mètres carrés. En 2016, c'est la troisième plus haute structure construite par l'homme, derrière la Burj Khalifa de Dubai (828 mètres), et la Tokyo Sky Tree de Tokyo (634 mètres). C'est le deuxième plus haut gratte-ciel du monde, puisque la Tokyo Skytree est une tour de radiodiffusion. La Tour Shanghai a reçu l'Emporis Skyscraper Award 2015 récompensant le gratte-ciel le plus remarquable de l'année 2015.","http://commons.wikimedia.org/wiki/Special:FilePath/Shanghai_Tower_2015.jpg?width=300"
"http://dbpedia.org/resource/Chicago_Spire","Chicago Spire","http://en.wikipedia.org/wiki/Chicago_Spire",41.8899,-87.6149,609.6,"Abandoned","La Chicago Spire (Flèche de Chicago) était un projet de gratte-ciel résidentiel de forme hélicoïdale en construction à Chicago dans l'Illinois. La fin des travaux était prévue pour 2012. Avec ses 150 étages et 609,6 mètres de hauteur, il serait devenu le plus haut gratte-ciel du continent américain, devant le One World Trade Center de New York. Il a été dessiné par l'espagnol Santiago Calatrava Valls, concepteur entre autres du Turning Torso de Malmö. Il fut d'abord appelé Fordham Spire et 400 North Lake Shore Drive. Le site de la construction se trouve sur l'estuaire de la rivière Chicago au nord-est du secteur du Loop, a été choisi par (en) du . En raison de plusieurs conséquences de la crise économique, les travaux ont été suspendus à l'automne 2008.","http://commons.wikimedia.org/wiki/Special:FilePath/Calatrava_IMG_2489.jpg?width=300"
"http://dbpedia.org/resource/Abraj_Al_Bait","Abraj Al Bait Towers","http://en.wikipedia.org/wiki/Abraj_Al_Bait",21.4189,39.8264,601.0,2012,"L'Abraj Al Bait Towers est un complexe formé de sept gratte-ciels situé à La Mecque (Arabie saoudite), dont les travaux ont été achevés en 2012. Al Bait signifie « La Maison ».","http://en.wikipedia.org/wiki/Special:FilePath/Abraj-al-Bait-Towers.JPG?width=300"
"http://dbpedia.org/resource/Shanghai_Tower","Tour Shanghai","http://en.wikipedia.org/wiki/Shanghai_Tower",31.2355,121.501,587.4,2014-09-02,"La tour Shanghai (chinois : 上海中心大厦 ; pinyin : shànghǎi zhōngxīn dàshà) est un gratte-ciel du quartier financier de Pudong à Shanghai. L'immeuble, qui s’élève à une hauteur de 632 mètres, a 128 étages et développe une surface de 420 000 mètres carrés. En 2016, c'est la troisième plus haute structure construite par l'homme, derrière la Burj Khalifa de Dubai (828 mètres), et la Tokyo Sky Tree de Tokyo (634 mètres). C'est le deuxième plus haut gratte-ciel du monde, puisque la Tokyo Skytree est une tour de radiodiffusion. La Tour Shanghai a reçu l'Emporis Skyscraper Award 2015 récompensant le gratte-ciel le plus remarquable de l'année 2015.","http://commons.wikimedia.org/wiki/Special:FilePath/Shanghai_Tower_2015.jpg?width=300"
"http://dbpedia.org/resource/Burj_Khalifa","Burj Khalifa","http://en.wikipedia.org/wiki/Burj_Khalifa",25.1971,55.2741,585.4,2009-10-01,"Burj Khalifa (en arabe : برج خليفة, /bʊrd͡ʒ xaˈliːfa/, « tour de Khalifa ») est un gratte-ciel situé à Dubaï aux Émirats arabes unis, devenu en mai 2008 la plus haute structure humaine jamais construite. Sa hauteur finale, atteinte le 17 janvier 2009, est de 828 mètres. Elle forme le cœur d’un nouveau quartier : Downtown Dubai. L'inauguration et l'ouverture partielle ont eu lieu le 4 janvier 2010.","http://en.wikipedia.org/wiki/Special:FilePath/Burj_Khalifa.jpg?width=300"
"http://dbpedia.org/resource/Chicago_Spire","Chicago Spire","http://en.wikipedia.org/wiki/Chicago_Spire",41.8899,-87.6149,568.452,"Abandoned","La Chicago Spire (Flèche de Chicago) était un projet de gratte-ciel résidentiel de forme hélicoïdale en construction à Chicago dans l'Illinois. La fin des travaux était prévue pour 2012. Avec ses 150 étages et 609,6 mètres de hauteur, il serait devenu le plus haut gratte-ciel du continent américain, devant le One World Trade Center de New York. Il a été dessiné par l'espagnol Santiago Calatrava Valls, concepteur entre autres du Turning Torso de Malmö. Il fut d'abord appelé Fordham Spire et 400 North Lake Shore Drive. Le site de la construction se trouve sur l'estuaire de la rivière Chicago au nord-est du secteur du Loop, a été choisi par (en) du . En raison de plusieurs conséquences de la crise économique, les travaux ont été suspendus à l'automne 2008.","http://commons.wikimedia.org/wiki/Special:FilePath/Calatrava_IMG_2489.jpg?width=300"
"http://dbpedia.org/resource/Abraj_Al_Bait","Abraj Al Bait Towers","http://en.wikipedia.org/wiki/Abraj_Al_Bait",21.4189,39.8264,530.0,2012,"L'Abraj Al Bait Towers est un complexe formé de sept gratte-ciels situé à La Mecque (Arabie saoudite), dont les travaux ont été achevés en 2012. Al Bait signifie « La Maison ».","http://en.wikipedia.org/wiki/Special:FilePath/Abraj-al-Bait-Towers.JPG?width=300"
"http://dbpedia.org/resource/Taipei_101","Taipei 101","http://en.wikipedia.org/wiki/Taipei_101",25.0336,121.565,508.2,2003-11-14,"Taipei 101 (chinois traditionnel : 臺北101 ; chinois simplifié : 台北101 ; pinyin : Táiběi 101), anciennement Centre financier international de Taipei, est un gratte-ciel localisé dans le district de Xinyi, Taipei à Taïwan. Le bâtiment est officiellement classé 10e plus grand gratte-ciel du monde avec une hauteur de 508,2 m. Il était le plus grand gratte-ciel au monde de 2004 à 2010 jusqu'à l'inauguration de la Burj Khalifa, devenue à son tour le plus haut immeuble de la planète avec une hauteur de 828 m. En juillet 2011, la tour a reçu la certification LEED Platinum, le plus grand prix du système de standardisation Leadership in Energy and Environmental Design et elle est devenue la plus grande écoconstruction du monde. L'édifice a été conçu par le groupement d’architectes C.Y. Lee & Partners Architects puis principalement construit par KTRT Joint Venture. En 2001, le propriétaire Taipei Financial Center Corporation remet le contrôle de la construction à Samsung C&T pour accélérer le processus. La construction s'est finie en 2004. La tour sert de symbole pour le Taïwan moderne depuis son inauguration. Des feux d'artifice y sont lancés chaque année pour le Nouvel An et le gratte-ciel apparaît fréquemment dans les carnets de voyage et les médias internationaux. Taipei 101 comporte 101 étages (d'où son nom) et 5 niveaux de sous-sols. L'architecture du bâtiment est un symbole de l'évolution technologique et de la tradition asiatique. Son approche au style postmoderne incorpore des éléments traditionnels tout en ajoutant une touche moderne. La tour est conçue pour faire face aux typhons et séismes. Un centre commercial sur six niveaux contigu à la tour abrite des centaines de magasins et restaurants.","http://commons.wikimedia.org/wiki/Special:FilePath/Taipei101.portrait.altonthompson.jpg?width=300"
