volcano;name;wiki;elevation;lat;lon;abstract;photo;eruption_date;eruption_year
http://dbpedia.org/resource/Acamarachi;Acamarachi;http://en.wikipedia.org/wiki/Acamarachi;6046;-23.3;-67.6167;L'Acamarachi ou cerro Pili est un stratovolcan du Chili aux pentes prononcées d'environ 45° et culminant à 6 046 mètres d'altitude ce qui en fait le sommet le plus élevé de ce secteur des Andes. Il est situé sur le plateau de Puna de Atacama au sud-est d'un groupe de petits volcans qui s'étend jusqu'à Colachi au nord-ouest. C'est un volcan datant de l'Holocène et qui contient désormais un lac classé comme le troisième le plus haut au monde.;http://commons.wikimedia.org/wiki/Special:FilePath/Acamarachi_Volcano.jpg?width=300;date inconnue;-1000000000
http://dbpedia.org/resource/Acatenango;Acatenango;http://en.wikipedia.org/wiki/Acatenango;3976;14.5008;-90.8758;L'Acatenango est un volcan du Guatemala. Voisin du Volcán de Fuego situé juste au sud et du Volcán de Agua situé au sud-est, il est situé au sud-ouest de la ville de Guatemala.;http://commons.wikimedia.org/wiki/Special:FilePath/Volcan_de_Fuego_y_Acatenango.jpg?width=300;novembre à décembre 1972;1972
http://dbpedia.org/resource/Acotango;Acotango;http://en.wikipedia.org/wiki/Acotango;6052;-18.3822;-69.0478;L'Acotango est le volcan le plus élevé du groupe de stratovolcans se trouvant à la frontière entre la Bolivie et le Chili. Ce groupe est connu sous le nom de Nevados de Quimsachata et comporte également les sommets de Humarata et . Son orientation suit une ligne nord-sud. Le volcan a subi une importante érosion, mais les coulées de lave sur sa face Nord sont morphologiquement jeunes, suggérant que l'Acotango ait pu être actif pendant l'Holocène.;http://commons.wikimedia.org/wiki/Special:FilePath/Volcan_Acotango_and_Cerro_Capurata.jpg?width=300;au Pléistocène;-2580000
http://dbpedia.org/resource/Aguilera_(volcano);Aguilera;http://en.wikipedia.org/wiki/Aguilera_(volcano);2546;-50.3333;-73.75;L'Aguilera ou Cerro Aguilera, en espagnol Volcán Aguilera, est un volcan du Chili qui s'élève en bordure du champ de glace Sud de Patagonie. Il n'a été gravi pour la première fois qu'en 2014.;http://commons.wikimedia.org/wiki/Special:FilePath/Aguilera_Volcano.jpg?width=300;il y a environ 3000 ans;-979
http://dbpedia.org/resource/Akademia_Nauk_(volcano);Akademia Nauk;http://en.wikipedia.org/wiki/Akademia_Nauk_(volcano);1180;53.9833;159.45;L'Akademia Naouk, en russe Академия Наук, littéralement en français « Académie des Sciences », est un volcan situé sur la péninsule du Kamtchatka, à l'est de la Russie. Il se présente sous la forme d'une caldeira partiellement remplie par le lac Karymski dominée au nord par le Karymski. Cette dépression s'inscrit dans une caldeira plus étendue, la de quinze kilomètres de diamètre qui inclut aussi la . Il tire son nom de l'académie russe des sciences, en russe : Росси́йская Акаде́мия Нау́к.;http://commons.wikimedia.org/wiki/Special:FilePath/Akademia_nauk.jpg?width=300;janvier 1996;1996
http://dbpedia.org/resource/Alid_Volcano;Alid;http://en.wikipedia.org/wiki/Alid_Volcano;904;14.875;39.9167;L'Alid, aussi appelé Alit est un volcan d'Érythrée.;http://commons.wikimedia.org/wiki/Special:FilePath/Alid_volcano.jpg?width=300;date inconnue;-1000000000
http://dbpedia.org/resource/Almolonga;Almolonga volcano;http://en.wikipedia.org/wiki/Almolonga;3197;14.8;-91.52;L'Almolonga ou Cerro Quemado (littéralement la « montagne brulée ») est un stratovolcan du Guatemala.;http://commons.wikimedia.org/wiki/Special:FilePath/Almolonga.jpg?width=300;janvier à juin 1818;1818
http://dbpedia.org/resource/Ambitle;Ambitle;http://en.wikipedia.org/wiki/Ambitle;450;-4.08333;153.65;Ambitle est une île volcanique de Papouasie-Nouvelle-Guinée, qui forme avec Babase le groupe des îles Feni, dans l'archipel Bismarck.;http://commons.wikimedia.org/wiki/Special:FilePath/Feni_Islands_NASA.jpg?width=300;vers 350 AEC;-350
http://dbpedia.org/resource/Ampato;Ampato;http://en.wikipedia.org/wiki/Ampato;6288;-15.8167;-71.8833;L'Ampato est un volcan endormi de 6 288 mètres d'altitude situé à 85 km au nord-ouest d'Arequipa dans les Andes au sud du Pérou.;http://commons.wikimedia.org/wiki/Special:FilePath/AmpatoSabancaya.jpg?width=300;date inconnue;-1000000000
http://dbpedia.org/resource/Antillanca_Group;Antillanca Group;http://en.wikipedia.org/wiki/Antillanca_Group;1990;-40.7708;-72.1533;L'Antillanca est un ensemble de volcans du Chili constitué de plusieurs stratovolcans, maars et cônes pyroclastiques couvrant une superficie de 380 km2. Le plus élevé d'entre eux est le avec 1 990 mètres d'altitude.;http://commons.wikimedia.org/wiki/Special:FilePath/DonPedro_Antillanca.jpg?width=300;vers 230 AEC;-230
http://dbpedia.org/resource/Antisana;Antisana;http://en.wikipedia.org/wiki/Antisana;5753;-0.481389;-78.1408;L'Antisana est un stratovolcan, culminant à 5 758 m, de la cordillère des Andes, situé en Équateur, dans la province de Napo. Sa dernière éruption remonte à 1801.;http://commons.wikimedia.org/wiki/Special:FilePath/Antisana.JPG?width=300;1801;1801
http://dbpedia.org/resource/Antofalla;Antofalla;http://en.wikipedia.org/wiki/Antofalla;6409;-25.55;-67.8833;Le volcan Antofalla est un stratovolcan actif d'Argentine. Il est situé dans la province de Catamarca, département d'Antofagasta de la Sierra.;http://commons.wikimedia.org/wiki/Special:FilePath/Antofalla-sunset.jpg?width=300;date inconnue;-1000000000
http://dbpedia.org/resource/Antuco_(volcano);Antuco;http://en.wikipedia.org/wiki/Antuco_(volcano);2979;-37.4058;-71.3492;L'Antuco est un volcan du Chili constitué d'un stratovolcan s'élevant au sud-ouest de la . Il est situé à l'intérieur du parc national Laguna del Laja.;http://commons.wikimedia.org/wiki/Special:FilePath/Antuco_Volcano.jpg?width=300;1869;1869
http://dbpedia.org/resource/Aracar;Aracar;http://en.wikipedia.org/wiki/Aracar;6095;-24.29;-67.7833;Le volcan Aracar, est un stratovolcan actif mais au repos actuellement, qui se trouve dans la province argentine de Salta (département de Los Andes). Son altitude est de 6 095 mètres.;http://commons.wikimedia.org/wiki/Special:FilePath/Aracar.jpg?width=300;1993;1993
http://dbpedia.org/resource/Arenal_Volcano;Arenal Volcano;http://en.wikipedia.org/wiki/Arenal_Volcano;1670;10.4633;-84.7033;L'Arenal, aussi appelé cerro Arenal, volcán de los Canaste, volcán de Costa Rica, Guatusos Peak, cerro de los Guatusos, Pan de Azúcar, Pelón, Los ahogados ou encore volcán de Río Frío, est un volcan du Costa Rica ayant une forme conique quasiment symétrique. Plus jeune volcan du Costa Rica, il est en éruption du 29 juillet 1968 à décembre 2010.;http://commons.wikimedia.org/wiki/Special:FilePath/Arenallong.jpg?width=300;1968;1968
http://dbpedia.org/resource/Arintica;Arintica;http://en.wikipedia.org/wiki/Arintica;5597;-18.7472;-69.0667;L'Arintica est un stratovolcan du Chili situé dans la région d'Arica et Parinacota, à proximité de la frontière avec la Bolivie. Il culmine à 5 597 mètres d'altitude.;http://commons.wikimedia.org/wiki/Special:FilePath/Thermes_de_Polloquere_(sud_du_salar_de_Surire).jpg?width=300;date inconnue;-1000000000
http://dbpedia.org/resource/Arjuno-Welirang;Arjuno‑Welirang;http://en.wikipedia.org/wiki/Arjuno-Welirang;3339;-7.76444;112.589;L'Arjuno-Welirang est un volcan d'Indonésie situé dans l'Est de l'île de Java.;http://commons.wikimedia.org/wiki/Special:FilePath/Mount_Arjuna.jpg?width=300;août 1952;1952
